model,instrument_type,instrument,quandl_id
EQUITY_TREND_MMM,MMM,STOCK,YAHOO/MMM
EQUITY_TREND_ABT,ABT,STOCK,YAHOO/ABT
EQUITY_TREND_ABBV,ABBV,STOCK,YAHOO/ABBV
EQUITY_TREND_ACN,ACN,STOCK,YAHOO/ACN
EQUITY_TREND_ATVI,ATVI,STOCK,YAHOO/ATVI
EQUITY_TREND_ADBE,ADBE,STOCK,YAHOO/ADBE
EQUITY_TREND_ADT,ADT,STOCK,YAHOO/ADT
EQUITY_TREND_AAP,AAP,STOCK,YAHOO/AAP
EQUITY_TREND_AES,AES,STOCK,YAHOO/AES
EQUITY_TREND_AET,AET,STOCK,YAHOO/AET
EQUITY_TREND_AFL,AFL,STOCK,YAHOO/AFL
EQUITY_TREND_AMG,AMG,STOCK,YAHOO/AMG
EQUITY_TREND_A,A,STOCK,YAHOO/A
EQUITY_TREND_GAS,GAS,STOCK,YAHOO/GAS
EQUITY_TREND_APD,APD,STOCK,YAHOO/APD
EQUITY_TREND_ARG,ARG,STOCK,YAHOO/ARG
EQUITY_TREND_AKAM,AKAM,STOCK,YAHOO/AKAM
EQUITY_TREND_AA,AA,STOCK,YAHOO/AA
EQUITY_TREND_ALXN,ALXN,STOCK,YAHOO/ALXN
EQUITY_TREND_ALLE,ALLE,STOCK,YAHOO/ALLE
EQUITY_TREND_ADS,ADS,STOCK,YAHOO/ADS
EQUITY_TREND_ALL,ALL,STOCK,YAHOO/ALL
EQUITY_TREND_GOOGL,GOOGL,STOCK,YAHOO/GOOGL
EQUITY_TREND_GOOG,GOOG,STOCK,YAHOO/GOOG
EQUITY_TREND_MO,MO,STOCK,YAHOO/MO
EQUITY_TREND_AMZN,AMZN,STOCK,YAHOO/AMZN
EQUITY_TREND_AEE,AEE,STOCK,YAHOO/AEE
EQUITY_TREND_AAL,AAL,STOCK,YAHOO/AAL
EQUITY_TREND_AEP,AEP,STOCK,YAHOO/AEP
EQUITY_TREND_AXP,AXP,STOCK,YAHOO/AXP
EQUITY_TREND_AIG,AIG,STOCK,YAHOO/AIG
EQUITY_TREND_AMT,AMT,STOCK,YAHOO/AMT
EQUITY_TREND_AWK,AWK,STOCK,YAHOO/AWK
EQUITY_TREND_AMP,AMP,STOCK,YAHOO/AMP
EQUITY_TREND_ABC,ABC,STOCK,YAHOO/ABC
EQUITY_TREND_AME,AME,STOCK,YAHOO/AME
EQUITY_TREND_AMGN,AMGN,STOCK,YAHOO/AMGN
EQUITY_TREND_APH,APH,STOCK,YAHOO/APH
EQUITY_TREND_APC,APC,STOCK,YAHOO/APC
EQUITY_TREND_ADI,ADI,STOCK,YAHOO/ADI
EQUITY_TREND_AON,AON,STOCK,YAHOO/AON
EQUITY_TREND_APA,APA,STOCK,YAHOO/APA
EQUITY_TREND_AIV,AIV,STOCK,YAHOO/AIV
EQUITY_TREND_AAPL,AAPL,STOCK,YAHOO/AAPL
EQUITY_TREND_AMAT,AMAT,STOCK,YAHOO/AMAT
EQUITY_TREND_ADM,ADM,STOCK,YAHOO/ADM
EQUITY_TREND_AIZ,AIZ,STOCK,YAHOO/AIZ
EQUITY_TREND_T,T,STOCK,YAHOO/T
EQUITY_TREND_ADSK,ADSK,STOCK,YAHOO/ADSK
EQUITY_TREND_ADP,ADP,STOCK,YAHOO/ADP
EQUITY_TREND_AN,AN,STOCK,YAHOO/AN
EQUITY_TREND_AZO,AZO,STOCK,YAHOO/AZO
EQUITY_TREND_AVGO,AVGO,STOCK,YAHOO/AVGO
EQUITY_TREND_AVB,AVB,STOCK,YAHOO/AVB
EQUITY_TREND_AVY,AVY,STOCK,YAHOO/AVY
EQUITY_TREND_BHI,BHI,STOCK,YAHOO/BHI
EQUITY_TREND_BLL,BLL,STOCK,YAHOO/BLL
EQUITY_TREND_BAC,BAC,STOCK,YAHOO/BAC
EQUITY_TREND_BK,BK,STOCK,YAHOO/BK
EQUITY_TREND_BCR,BCR,STOCK,YAHOO/BCR
EQUITY_TREND_BXLT,BXLT,STOCK,YAHOO/BXLT
EQUITY_TREND_BAX,BAX,STOCK,YAHOO/BAX
EQUITY_TREND_BBT,BBT,STOCK,YAHOO/BBT
EQUITY_TREND_BDX,BDX,STOCK,YAHOO/BDX
EQUITY_TREND_BBBY,BBBY,STOCK,YAHOO/BBBY
EQUITY_TREND_BRK-B,BRK-B,STOCK,YAHOO/BRK-B
EQUITY_TREND_BBY,BBY,STOCK,YAHOO/BBY
EQUITY_TREND_BIIB,BIIB,STOCK,YAHOO/BIIB
EQUITY_TREND_BLK,BLK,STOCK,YAHOO/BLK
EQUITY_TREND_HRB,HRB,STOCK,YAHOO/HRB
EQUITY_TREND_BA,BA,STOCK,YAHOO/BA
EQUITY_TREND_BWA,BWA,STOCK,YAHOO/BWA
EQUITY_TREND_BXP,BXP,STOCK,YAHOO/BXP
EQUITY_TREND_BSX,BSX,STOCK,YAHOO/BSX
EQUITY_TREND_BMY,BMY,STOCK,YAHOO/BMY
EQUITY_TREND_BF-B,BF-B,STOCK,YAHOO/BF-B
EQUITY_TREND_CHRW,CHRW,STOCK,YAHOO/CHRW
EQUITY_TREND_CA,CA,STOCK,YAHOO/CA
EQUITY_TREND_CVC,CVC,STOCK,YAHOO/CVC
EQUITY_TREND_COG,COG,STOCK,YAHOO/COG
EQUITY_TREND_CPB,CPB,STOCK,YAHOO/CPB
EQUITY_TREND_COF,COF,STOCK,YAHOO/COF
EQUITY_TREND_CAH,CAH,STOCK,YAHOO/CAH
EQUITY_TREND_HSIC,HSIC,STOCK,YAHOO/HSIC
EQUITY_TREND_KMX,KMX,STOCK,YAHOO/KMX
EQUITY_TREND_CCL,CCL,STOCK,YAHOO/CCL
EQUITY_TREND_CAT,CAT,STOCK,YAHOO/CAT
EQUITY_TREND_CBG,CBG,STOCK,YAHOO/CBG
EQUITY_TREND_CBS,CBS,STOCK,YAHOO/CBS
EQUITY_TREND_CELG,CELG,STOCK,YAHOO/CELG
EQUITY_TREND_CNC,CNC,STOCK,YAHOO/CNC
EQUITY_TREND_CNP,CNP,STOCK,YAHOO/CNP
EQUITY_TREND_CTL,CTL,STOCK,YAHOO/CTL
EQUITY_TREND_CERN,CERN,STOCK,YAHOO/CERN
EQUITY_TREND_CF,CF,STOCK,YAHOO/CF
EQUITY_TREND_SCHW,SCHW,STOCK,YAHOO/SCHW
EQUITY_TREND_CHK,CHK,STOCK,YAHOO/CHK
EQUITY_TREND_CVX,CVX,STOCK,YAHOO/CVX
EQUITY_TREND_CMG,CMG,STOCK,YAHOO/CMG
EQUITY_TREND_CB,CB,STOCK,YAHOO/CB
EQUITY_TREND_CHD,CHD,STOCK,YAHOO/CHD
EQUITY_TREND_CI,CI,STOCK,YAHOO/CI
EQUITY_TREND_XEC,XEC,STOCK,YAHOO/XEC
EQUITY_TREND_CINF,CINF,STOCK,YAHOO/CINF
EQUITY_TREND_CTAS,CTAS,STOCK,YAHOO/CTAS
EQUITY_TREND_CSCO,CSCO,STOCK,YAHOO/CSCO
EQUITY_TREND_C,C,STOCK,YAHOO/C
EQUITY_TREND_CTXS,CTXS,STOCK,YAHOO/CTXS
EQUITY_TREND_CLX,CLX,STOCK,YAHOO/CLX
EQUITY_TREND_CME,CME,STOCK,YAHOO/CME
EQUITY_TREND_CMS,CMS,STOCK,YAHOO/CMS
EQUITY_TREND_COH,COH,STOCK,YAHOO/COH
EQUITY_TREND_KO,KO,STOCK,YAHOO/KO
EQUITY_TREND_CCE,CCE,STOCK,YAHOO/CCE
EQUITY_TREND_CTSH,CTSH,STOCK,YAHOO/CTSH
EQUITY_TREND_CL,CL,STOCK,YAHOO/CL
EQUITY_TREND_CPGX,CPGX,STOCK,YAHOO/CPGX
EQUITY_TREND_CMCSA,CMCSA,STOCK,YAHOO/CMCSA
EQUITY_TREND_CMA,CMA,STOCK,YAHOO/CMA
EQUITY_TREND_CAG,CAG,STOCK,YAHOO/CAG
EQUITY_TREND_CXO,CXO,STOCK,YAHOO/CXO
EQUITY_TREND_COP,COP,STOCK,YAHOO/COP
EQUITY_TREND_ED,ED,STOCK,YAHOO/ED
