model,currency,current_position
BTC_TREND_1CR,1CR,0.00000000
BTC_TREND_ABY,ABY,0.00000000
BTC_TREND_AC,AC,0.00000000
BTC_TREND_ACH,ACH,0.00000000
BTC_TREND_ADN,ADN,0.00000000
BTC_TREND_AEON,AEON,0.00000000
BTC_TREND_AERO,AERO,0.00000000
BTC_TREND_AIR,AIR,0.00000000
BTC_TREND_AMP,AMP,0.00000000
BTC_TREND_APH,APH,0.00000000
BTC_TREND_ARCH,ARCH,0.00000000
BTC_TREND_AUR,AUR,0.00000000
BTC_TREND_AXIS,AXIS,0.00000000
BTC_TREND_BALLS,BALLS,0.00000000
BTC_TREND_BANK,BANK,0.00000000
BTC_TREND_BBL,BBL,0.00000000
BTC_TREND_BBR,BBR,0.00000000
BTC_TREND_BCC,BCC,0.00000000
BTC_TREND_BCN,BCN,0.00000000
BTC_TREND_BCY,BCY,0.00000000
BTC_TREND_BDC,BDC,0.00000000
BTC_TREND_BDG,BDG,0.00000000
BTC_TREND_BELA,BELA,0.00000000
BTC_TREND_BITCNY,BITCNY,0.00000000
BTC_TREND_BITS,BITS,0.00000000
BTC_TREND_BITUSD,BITUSD,0.00000000
BTC_TREND_BLK,BLK,0.00000000
BTC_TREND_BLOCK,BLOCK,0.00000000
BTC_TREND_BLU,BLU,0.00000000
BTC_TREND_BNS,BNS,0.00000000
BTC_TREND_BONES,BONES,0.00000000
BTC_TREND_BOST,BOST,0.00000000
BTC_TREND_BTC,BTC,0.02439344
BTC_TREND_BTCD,BTCD,0.00000000
BTC_TREND_BTCS,BTCS,0.00000000
BTC_TREND_BTM,BTM,0.00000000
BTC_TREND_BTS,BTS,0.00000000
BTC_TREND_BURN,BURN,0.00000000
BTC_TREND_BURST,BURST,0.00000000
BTC_TREND_C2,C2,0.00000000
BTC_TREND_CACH,CACH,0.00000000
BTC_TREND_CAI,CAI,0.00000000
BTC_TREND_CC,CC,0.00000000
BTC_TREND_CCN,CCN,0.00000000
BTC_TREND_CGA,CGA,0.00000000
BTC_TREND_CHA,CHA,0.00000000
BTC_TREND_CINNI,CINNI,0.00000000
BTC_TREND_CLAM,CLAM,0.00000000
BTC_TREND_CNL,CNL,0.00000000
BTC_TREND_CNMT,CNMT,0.00000000
BTC_TREND_CNOTE,CNOTE,0.00000000
BTC_TREND_COMM,COMM,0.00000000
BTC_TREND_CON,CON,0.00000000
BTC_TREND_CORG,CORG,0.00000000
BTC_TREND_CRYPT,CRYPT,0.00000000
BTC_TREND_CURE,CURE,0.00000000
BTC_TREND_CYC,CYC,0.00000000
BTC_TREND_DASH,DASH,0.00000000
BTC_TREND_DGB,DGB,0.00000000
BTC_TREND_DICE,DICE,0.00000000
BTC_TREND_DIEM,DIEM,0.00000000
BTC_TREND_DIME,DIME,0.00000000
BTC_TREND_DIS,DIS,0.00000000
BTC_TREND_DNS,DNS,0.00000000
BTC_TREND_DOGE,DOGE,0.00000000
BTC_TREND_DRKC,DRKC,0.00000000
