date,close,position
2015-03-31,1.6e-06,0.0
2015-04-01,9.8e-07,0.0
2015-04-02,1.23e-06,0.0
2015-04-03,1.22e-06,0.0
2015-04-04,1.07e-06,0.0
2015-04-05,8.9e-07,0.0
2015-04-06,1.13e-06,0.0
2015-04-07,9.6e-07,0.0
2015-04-08,9.3e-07,0.0
2015-04-09,9.2e-07,0.0
2015-04-10,7.4e-07,0.0
2015-04-11,6.9e-07,0.0
2015-04-12,6.2e-07,0.0
2015-04-13,6.2e-07,0.0
2015-04-14,7e-07,0.0
2015-04-15,6.9e-07,0.0
2015-04-16,7.4e-07,0.0
2015-04-17,7.5e-07,0.0
2015-04-18,6.3e-07,0.0
2015-04-19,6.6e-07,0.0
2015-04-20,5.9e-07,0.0
2015-04-21,5.8e-07,0.0
2015-04-22,5.9e-07,0.0
2015-04-23,5.8e-07,0.0
2015-04-24,6.4e-07,0.0
2015-04-25,6.2e-07,0.0
2015-04-26,6.1e-07,0.0
2015-04-27,7e-07,0.0
2015-04-28,6.5e-07,0.0
2015-04-29,6.5e-07,0.0
2015-04-30,6.6e-07,0.0
2015-05-01,6.7e-07,0.0
2015-05-02,6.6e-07,0.0
2015-05-03,6.2e-07,0.0
2015-05-04,6.3e-07,0.0
2015-05-05,5.9e-07,0.0
2015-05-06,6.2e-07,0.0
2015-05-07,6.6e-07,0.0
2015-05-08,6.4e-07,0.0
2015-05-09,6.2e-07,0.0
2015-05-10,6.3e-07,0.0
2015-05-11,6.4e-07,0.0
2015-05-12,6.9e-07,0.0
2015-05-13,6.7e-07,0.0
2015-05-14,6.7e-07,0.0
2015-05-15,6.9e-07,0.0
2015-05-16,6.5e-07,0.0
2015-05-17,6.7e-07,0.0
2015-05-18,7.1e-07,0.0
2015-05-19,7e-07,0.0
2015-05-20,7.2e-07,0.0
2015-05-21,7.2e-07,0.0
2015-05-22,7.3e-07,0.0
2015-05-23,7.4e-07,0.0
2015-05-24,7.5e-07,0.0
2015-05-25,7.4e-07,0.0
2015-05-26,7.8e-07,0.0
2015-05-27,8.3e-07,0.0
2015-05-28,8.3e-07,0.0
2015-05-29,7.6e-07,0.0
2015-05-30,7.8e-07,0.0
2015-05-31,7.6e-07,0.0
2015-06-01,7.6e-07,0.0
2015-06-02,7.8e-07,0.0
2015-06-03,7.8e-07,0.0
2015-06-04,7.6e-07,0.0
2015-06-05,7.7e-07,0.0
2015-06-06,7.5e-07,0.0
2015-06-07,7.4e-07,0.0
2015-06-08,7.5e-07,0.0
2015-06-09,5.7e-07,0.0
2015-06-10,6.7e-07,0.0
2015-06-11,6.4e-07,0.0
2015-06-12,6.2e-07,0.0
2015-06-13,6.4e-07,0.0
2015-06-14,6.5e-07,0.0
2015-06-15,6.2e-07,0.0
2015-06-16,6.2e-07,0.0
2015-06-17,6.5e-07,0.0
2015-06-18,6.7e-07,0.0
2015-06-19,6.1e-07,0.0
2015-06-20,6.1e-07,0.0
2015-06-21,6.6e-07,0.0
2015-06-22,6.4e-07,0.0
2015-06-23,6.2e-07,0.0
2015-06-24,6.4e-07,0.0
2015-06-25,6.4e-07,0.0
2015-06-26,6e-07,0.0
2015-06-27,6.2e-07,0.0
2015-06-28,6.1e-07,0.0
2015-06-29,5.8e-07,0.0
2015-06-30,6e-07,0.0
2015-07-01,5.3e-07,0.0
2015-07-02,5.6e-07,0.0
2015-07-03,5.5e-07,0.0
2015-07-04,5.4e-07,0.0
2015-07-05,4.6e-07,0.0
2015-07-06,4.7e-07,0.0
2015-07-07,5.5e-07,0.0
2015-07-08,5.8e-07,-2.35021100086e+12
2015-07-09,5.5e-07,-2.34743420746e+12
2015-07-10,5.1e-07,-2.33051253083e+12
2015-07-11,5.5e-07,-2.30843393561e+12
2015-07-12,5.1e-07,-2.29487228677e+12
2015-07-13,5.4e-07,-2.28292968778e+12
2015-07-14,5.4e-07,-2.28314825569e+12
2015-07-15,5.4e-07,-2.30722984932e+12
2015-07-16,5.3e-07,-2.34640533104e+12
2015-07-17,5.3e-07,-2.34640533104e+12
